Player,First,Last,Active,GP,GS,W,L,TOL,GA,SA,SV,SV_PCT,GAA,SO,PIM,MIN
David Rittich,2016,2017,1,1,0,0,0,0,1,10,9,0.9,3,0,0,20
Marc D'Amour,1985,1989,2,16,,2,4,2,32,324,292,0.901,3.32,0,22,579
Trevor Kidd,1991,2004,12,387,,140,162,52,1014,10237,9223,0.901,2.84,19,36,21426
Fred Brathwaite,1993,2004,9,254,,81,99,37,629,6344,5715,0.901,2.73,15,12,13840
Garth Snow,1993,2006,12,368,,135,147,44,925,9298,8373,0.901,2.8,16,190,19837
Zac Bierk,1997,2004,6,47,,9,20,5,113,1145,1032,0.901,3.18,1,6,2135
Brian Boucher,1999,2013,13,328,87,120,139,45,822,8272,7450,0.901,2.71,17,18,18220
Mika Noronen,2000,2006,5,71,,23,32,6,163,1642,1479,0.901,2.68,3,4,3652
Johan Hedberg,2000,2013,12,373,169,161,143,36,977,9918,8941,0.901,2.82,22,96,20758
Jussi Markkanen,2001,2007,5,128,,43,47,15,297,2992,2695,0.901,2.7,7,4,6610
Jeff Deslauriers,2008,2012,3,62,58,23,32,4,193,1944,1751,0.901,3.24,3,8,3579
Justin Peters,2009,2017,7,83,68,25,38,9,230,2313,2083,0.901,3.08,3,8,4482
Jonas Gustavsson,2009,2017,8,179,157,72,67,23,466,4717,4251,0.901,2.88,7,10,9721
Joni Ortio,2013,2016,3,37,34,15,15,5,90,910,820,0.901,2.66,2,2,2030
Sean Burke,1987,2007,18,820,,324,341,110,2290,23299,21009,0.902,2.96,38,310,46442
Jeff Hackett,1988,2004,15,500,,166,244,56,1361,13873,12512,0.902,2.9,26,62,28125
Marc Denis,1996,2009,11,349,4,112,179,31,982,10044,9062,0.902,3.02,16,32,19526
Rick DiPietro,2000,2013,11,318,108,130,136,36,871,8915,8044,0.902,2.87,16,129,18199
Sebastien Charpentier,2001,2004,3,26,,6,14,1,66,672,606,0.902,2.93,0,0,1350
Vesa Toskala,2001,2010,8,266,142,129,82,30,679,6957,6278,0.902,2.76,13,16,14767
Antero Niittymaki,2003,2011,7,234,119,95,86,31,645,6599,5954,0.902,2.95,5,6,13113
Joey MacDonald,2006,2014,8,133,100,44,61,15,367,3748,3381,0.902,3,2,8,7331
Leland Irving,2011,2013,2,13,12,3,4,4,36,367,331,0.902,3.25,0,0,664
Philippe DeRouville,1994,1997,2,3,,1,2,0,9,93,84,0.903,3.16,0,0,171
Kevin Weekes,1997,2009,11,348,18,105,163,39,903,9262,8359,0.903,2.88,19,18,18837
Maxime Ouellet,2000,2006,3,12,,2,6,2,34,350,316,0.903,3.08,1,2,663
Mathieu Garon,2000,2013,12,341,176,144,131,31,865,8938,8073,0.903,2.83,20,28,18342
Mike Richter,1989,2003,14,666,,301,258,73,1840,19219,17379,0.904,2.89,24,34,38183
Byron Dafoe,1992,2004,12,415,,171,170,56,1051,10897,9846,0.904,2.69,26,68,23478
Jocelyn Thibault,1993,2008,14,586,7,238,238,75,1508,15706,14198,0.904,2.75,39,18,32892
Brent Johnson,1998,2012,12,309,85,140,112,31,744,7717,6973,0.904,2.63,14,52,16978
Derek Gustafson,2000,2002,2,5,,1,3,0,10,104,94,0.904,2.26,0,0,265
Pasi Nurminen,2001,2004,3,125,,48,54,12,338,3519,3181,0.904,2.87,5,39,7059
Alex Auld,2001,2012,10,237,106,91,88,32,606,6293,5687,0.904,2.8,6,12,12986
Curtis Sanford,2002,2012,6,144,56,47,55,15,333,3472,3139,0.904,2.72,6,4,7354
Pascal Leclaire,2003,2011,7,173,108,61,76,15,453,4698,4245,0.904,2.89,10,8,9406
Dustin Tokarski,2009,2017,6,34,27,10,12,5,80,837,757,0.904,2.84,1,2,1692
Anders Lindback,2010,2016,6,130,102,45,58,8,327,3403,3076,0.904,2.87,3,6,6843
Viktor Fasth,2012,2015,3,63,59,26,26,7,161,1682,1521,0.904,2.79,4,0,3465
Reto Berra,2013,2017,4,71,57,19,35,4,168,1742,1574,0.904,2.88,3,4,3500
Felix Potvin,1991,2004,13,635,,266,260,85,1694,17864,16170,0.905,2.76,32,82,36765
Chris Osgood,1993,2011,17,744,115,401,216,95,1768,18629,16861,0.905,2.49,50,137,42564
Tommy Salo,1994,2004,10,526,,210,225,73,1296,13591,12295,0.905,2.55,37,67,30436
Patrick Lalime,1996,2011,12,444,68,200,174,48,1085,11370,10285,0.905,2.58,35,58,25241
Steve Valiquette,1999,2010,6,46,27,16,14,5,103,1085,982,0.905,2.74,4,4,2256
Scott Clemmensen,2001,2015,12,191,137,73,59,24,468,4931,4463,0.905,2.79,7,4,10059
Peter Budaj,2005,2017,11,357,239,155,128,39,876,9201,8325,0.905,2.67,18,20,19714
Curtis McElhinney,2007,2017,9,168,119,51,66,12,406,4296,3890,0.905,2.95,5,2,8261
Henrik Karlsson,2010,2012,2,26,18,5,9,8,60,630,570,0.905,2.79,0,0,1292
Ben Scrivens,2011,2016,5,144,130,47,64,17,387,4095,3708,0.905,2.92,7,20,7957
Ed Belfour*,1988,2007,17,963,,484,320,125,2317,24751,22434,0.906,2.5,76,380,55695
Olaf Kolzig,1989,2009,17,719,60,303,297,87,1885,20118,18233,0.906,2.71,35,107,41671
Curtis Joseph,1989,2009,19,943,16,454,352,96,2516,26795,24279,0.906,2.79,51,126,54054
Jani Hurme,1999,2003,4,76,,29,25,11,176,1867,1691,0.906,2.61,6,19,4041
Ty Conklin,2001,2012,9,215,120,96,67,21,516,5484,4968,0.906,2.69,17,37,11527
Ray Emery,2002,2015,11,287,156,145,86,28,697,7432,6735,0.906,2.7,16,79,15488
Dan Ellis,2003,2015,9,212,180,87,79,18,526,5579,5053,0.906,2.79,15,6,11306
Karri Ramo,2006,2016,6,159,146,60,63,18,414,4388,3974,0.906,2.85,5,16,8721
Richard Bachman,2010,2017,7,47,36,20,17,2,114,1213,1099,0.906,2.89,2,0,2363
Jacob Markstrom,2010,2017,7,109,96,36,53,12,283,2995,2712,0.906,2.91,0,6,5845
Matt Hackett,2011,2015,4,26,20,4,17,2,67,709,642,0.906,3.11,0,0,1291
Mark Visentin,2013,2014,1,1,1,0,1,0,3,32,29,0.906,3.05,0,0,59
Nathan Lieuwen,2013,2014,1,7,5,1,4,0,18,191,173,0.906,2.98,0,0,363
Bruce Dowie,1983,1984,1,2,,0,1,0,4,43,39,0.907,3.33,0,0,72
Nikolai Khabibulin,1994,2014,18,799,206,333,334,97,2071,22329,20258,0.907,2.72,46,134,45609
Steve Shields,1995,2006,10,246,,80,104,40,606,6510,5904,0.907,2.67,10,78,13630
Roman Turek,1996,2004,8,328,,159,115,43,734,7886,7152,0.907,2.31,27,30,19095
Jason LaBarbera,2000,2015,11,187,124,62,73,20,457,4933,4476,0.907,2.85,6,10,9615
Ondrej Pavelec,2007,2017,10,379,362,152,158,47,1023,10984,9961,0.907,2.87,17,10,21398
Jamie Storr,1994,2004,10,219,,85,86,23,488,5317,4829,0.908,2.54,16,26,11512
Mike Dunham,1996,2007,10,394,,141,178,44,989,10701,9712,0.908,2.74,19,16,21653
Dwayne Roloson,1996,2012,14,606,234,227,257,82,1552,16942,15390,0.908,2.72,29,96,34297
Matthew Yeats,2003,2004,1,5,,1,3,0,13,141,128,0.908,3.02,0,2,258
Yann Danis,2005,2016,6,55,35,17,22,4,127,1381,1254,0.908,2.79,3,0,2732
Anders Nilsson,2011,2017,4,78,67,29,32,8,211,2306,2095,0.908,2.94,2,6,4303
Jeff Zatkoff,2013,2017,4,48,37,18,21,4,113,1230,1117,0.908,2.72,1,0,2490
Mike Condon,2015,2017,2,96,89,40,39,12,237,2580,2343,0.908,2.61,6,4,5447
Guy Hebert,1991,2001,10,491,,191,222,56,1307,14400,13093,0.909,2.81,28,22,27889
Jose Theodore,1995,2013,16,648,243,286,254,69,1635,17983,16348,0.909,2.68,33,40,36607
Chris Mason,1998,2013,11,317,205,137,113,32,754,8324,7570,0.909,2.66,23,12,17004
Martin Prusek,2001,2006,4,57,,31,12,4,114,1246,1132,0.909,2.36,3,0,2898
Cam Ward,2005,2017,12,625,526,295,230,80,1616,17802,16186,0.909,2.7,25,30,35977
Jhonas Enroth,2009,2017,8,153,132,50,69,16,397,4379,3982,0.909,2.84,7,2,8387
Patrick Roy*,1984,2003,19,1029,,551,315,131,2546,28353,25807,0.91,2.54,66,262,60235
Martin Biron,1995,2014,16,508,179,230,191,52,1247,13893,12646,0.91,2.61,28,81,28614
Marty Turco,2000,2012,11,543,216,275,167,66,1216,13447,12231,0.91,2.36,41,168,30957
Erik Ersberg,2007,2010,3,53,45,18,19,10,120,1337,1217,0.91,2.55,2,2,2827
Al Montoya,2008,2017,8,155,128,63,46,22,368,4072,3704,0.91,2.6,7,12,8478
Darcy Kuemper,2012,2017,5,102,89,41,34,14,236,2608,2372,0.91,2.6,7,6,5453
Carter Hutton,2012,2017,5,106,88,46,32,14,234,2611,2377,0.91,2.51,8,6,5592
Michael Hutchinson,2013,2017,4,99,84,41,38,11,232,2569,2337,0.91,2.63,3,0,5285
Laurent Brossoit,2014,2017,3,14,10,4,6,1,31,346,315,0.91,2.69,0,0,692
Louis Domingue,2014,2017,3,77,66,27,35,7,197,2188,1991,0.91,2.87,2,0,4113
Connor Hellebuyck,2015,2017,2,82,79,39,30,5,202,2255,2053,0.91,2.71,6,0,4467
Evgeni Nabokov,1999,2015,14,697,339,353,227,86,1630,18398,16768,0.911,2.44,59,118,40152
Martin Gerber,2002,2011,7,229,84,113,78,21,566,6349,5783,0.911,2.63,10,30,12920
Michal Neuvirth,2008,2017,9,228,203,95,82,22,555,6270,5715,0.911,2.68,10,6,12447
Steve Mason,2008,2017,9,463,445,200,177,63,1174,13167,11993,0.911,2.68,33,22,26262
Eddie Lack,2013,2017,4,136,121,54,51,18,326,3655,3329,0.911,2.56,9,2,7653
Martin Brodeur,1991,2015,22,1266,369,691,397,154,2781,31709,28928,0.912,2.24,125,122,74439
Manny Fernandez,1994,2009,13,325,31,143,123,35,775,8803,8028,0.912,2.5,15,40,18580
Manny Legace,1998,2010,11,365,117,187,99,41,809,9151,8342,0.912,2.41,24,12,20140
David Aebischer,2000,2008,7,214,1,106,74,17,513,5807,5294,0.912,2.52,13,30,12230
Miikka Kiprusoff,2000,2013,12,623,386,319,213,71,1500,17114,15614,0.912,2.49,44,47,36169
Ilya Bryzgalov,2001,2015,12,465,392,221,162,54,1141,13011,11870,0.912,2.58,34,20,26550
Kari Lehtonen,2003,2017,13,612,482,295,219,64,1579,17974,16395,0.912,2.72,37,38,34894
Marc-Andre Fleury,2003,2017,13,691,536,375,216,68,1713,19487,17774,0.912,2.58,44,56,39769
Drew MacIntyre,2007,2014,3,6,1,0,2,0,8,91,83,0.912,2.41,0,0,199
Alex Stalock,2010,2017,6,64,48,25,20,7,131,1485,1354,0.912,2.34,4,4,3354
Keith Kinkaid,2012,2017,4,69,56,23,27,8,164,1865,1701,0.912,2.68,3,2,3667
Matt O'Connor,2015,2016,1,1,1,0,1,0,3,34,31,0.912,3.1,0,0,58
Jean-Sebastien Giguere,1996,2014,16,597,222,262,216,75,1423,16325,14902,0.913,2.53,38,98,33717
Cristobal Huet,2002,2010,7,272,137,129,90,32,625,7216,6591,0.913,2.46,24,10,15260
Mike Smith,2006,2017,11,474,438,195,198,60,1219,13952,12733,0.913,2.7,33,109,27085
Brian Elliott,2007,2017,10,372,338,191,117,35,829,9570,8741,0.913,2.42,36,6,20550
Antti Niemi,2008,2017,9,423,406,227,125,51,999,11463,10464,0.913,2.49,35,8,24083
Petr Mrazek,2012,2017,5,144,127,64,51,17,340,3907,3567,0.913,2.56,10,4,7972
Linus Ullmark,2015,2017,2,21,21,8,11,2,52,601,549,0.913,2.62,0,0,1190
Wayne Cowley,1993,1994,1,1,,0,1,0,3,35,32,0.914,3.16,0,0,57
Wade Dubielewicz,2003,2010,6,43,20,18,16,2,97,1131,1034,0.914,2.65,0,0,2196
Niklas Backstrom,2006,2016,10,413,357,196,144,50,975,11392,10417,0.914,2.49,28,22,23481
Jonas Hiller,2007,2016,9,404,374,197,140,37,960,11222,10262,0.914,2.55,23,2,22601
Calvin Pickard,2014,2017,3,86,74,28,44,6,217,2511,2294,0.914,2.77,3,2,4700
Ryan Miller,2002,2017,14,709,572,358,262,74,1810,21260,19450,0.915,2.61,39,48,41573
Jimmy Howard,2005,2017,11,401,382,199,124,54,931,11017,10086,0.915,2.43,23,24,22964
Jonathan Bernier,2007,2017,9,252,227,109,95,27,612,7171,6559,0.915,2.65,14,10,13860
Chad Johnson,2009,2017,7,137,124,68,45,12,314,3689,3375,0.915,2.44,7,0,7716
James Reimer,2010,2017,7,258,235,109,94,28,639,7548,6909,0.915,2.74,17,8,13982
Jake Allen,2012,2017,4,160,149,90,46,12,351,4135,3784,0.915,2.37,15,6,8882
Andrei Vasilevskiy,2014,2017,3,90,81,41,32,8,215,2541,2326,0.915,2.6,4,2,4954
Joonas Korpisalo,2015,2017,2,45,43,23,16,5,116,1370,1254,0.915,2.68,1,2,2594
Craig Anderson,2002,2017,14,506,431,238,182,57,1294,15461,14167,0.916,2.69,38,52,28821
Thomas Greiss,2007,2017,8,181,156,85,59,20,411,4896,4485,0.916,2.51,7,6,9833
Jonathan Quick,2007,2017,10,492,483,260,167,53,1086,12892,11806,0.916,2.26,44,42,28771
Semyon Varlamov,2008,2017,9,348,335,169,134,35,881,10470,9589,0.916,2.65,21,18,19971
Anton Khudobin,2009,2017,8,116,106,51,45,9,260,3097,2837,0.916,2.45,5,6,6366
Devan Dubnyk,2009,2017,8,363,343,169,136,37,874,10435,9561,0.916,2.54,24,28,20639
Martin Jones,2013,2017,4,164,159,88,57,12,357,4266,3909,0.916,2.27,15,0,9456
Tomas Vokoun,1996,2013,15,700,306,300,288,78,1688,20313,18625,0.917,2.55,51,125,39695
Mike Minard,1999,2000,1,1,,1,0,0,3,36,33,0.917,3,0,0,60
Pekka Rinne,2005,2017,11,508,496,269,155,62,1167,14136,12969,0.917,2.38,43,46,29420
Jaroslav Halak,2006,2017,11,395,369,212,124,42,915,11025,10110,0.917,2.41,41,10,22797
Johan Backlund,2009,2010,1,1,1,0,1,0,2,24,22,0.917,3,0,0,40
Antti Raanta,2013,2017,4,94,78,47,23,9,192,2311,2119,0.917,2.33,8,0,4951
Andrey Makarov,2014,2015,1,1,1,0,1,0,3,36,33,0.917,3,0,0,60
Josh Harding,2005,2014,8,151,117,60,59,11,327,3984,3657,0.918,2.45,10,6,7995
Corey Crawford,2005,2017,10,381,368,214,115,43,870,10612,9742,0.918,2.37,21,18,21983
Robin Lehner,2010,2017,7,166,155,58,71,26,430,5220,4790,0.918,2.76,5,20,9357
Frederik Andersen,2013,2017,4,191,180,110,42,26,440,5357,4917,0.918,2.45,10,22,10772
Roberto Luongo,1999,2017,17,966,541,453,365,117,2312,28576,26264,0.919,2.5,73,46,55565
Roman Cechmanek,2000,2004,4,212,,110,64,28,419,5161,4742,0.919,2.08,25,24,12085
Ben Bishop,2008,2017,8,270,257,148,80,25,593,7314,6721,0.919,2.32,19,26,15319
Cedrick Desjardins,2010,2014,3,6,4,2,4,0,12,149,137,0.919,2.42,0,2,298
Pauli Jaks,1994,1995,1,1,,0,0,0,2,25,23,0.92,3,0,0,40
Tim Thomas,2002,2014,9,426,305,214,145,49,1027,12822,11795,0.92,2.52,31,43,24448
Nolan Schaefer,2005,2006,1,7,,5,1,0,11,138,127,0.92,1.88,1,2,352
Henrik Lundqvist,2005,2017,12,742,613,405,249,76,1685,20992,19307,0.92,2.32,61,16,43629
Carey Price,2007,2017,10,509,500,270,175,55,1203,15058,13855,0.92,2.4,39,43,30053
Sergei Bobrovsky,2010,2017,7,330,320,181,107,30,771,9614,8843,0.92,2.45,19,18,18902
Allen York,2011,2012,1,11,5,3,2,0,16,199,183,0.92,2.3,0,0,417
Niklas Svedberg,2013,2015,2,19,15,8,5,1,37,460,423,0.92,2.31,2,0,961
Dominik Hasek*,1990,2008,16,735,40,389,223,95,1572,20220,18648,0.922,2.2,81,170,42837
Cory Schneider,2008,2017,9,330,314,144,124,46,718,9182,8464,0.922,2.28,23,4,18861
Mike Brodeur,2009,2011,2,7,4,3,1,0,10,129,119,0.922,2.17,1,0,277
Braden Holtby,2010,2017,7,307,299,191,73,31,678,8658,7980,0.922,2.31,32,17,17610
John Gibson,2013,2017,4,118,111,62,37,13,250,3190,2940,0.922,2.22,12,6,6766
Cam Talbot,2013,2017,4,186,179,96,64,18,418,5363,4945,0.922,2.32,18,4,10823
Juuse Saros,2015,2017,2,22,20,10,9,3,50,637,587,0.922,2.38,1,0,1258
Tuukka Rask,2007,2017,10,395,376,204,123,48,844,10927,10083,0.923,2.24,38,16,22600
Alexander Pechurski,2009,2010,1,1,0,0,0,0,1,13,12,0.923,1.67,0,0,36
Philipp Grubauer,2012,2017,5,66,51,28,21,8,128,1661,1533,0.923,2.25,3,2,3408
Andrew Hammond,2013,2017,4,55,48,27,14,6,117,1516,1399,0.923,2.31,4,2,3034
Scott Darling,2014,2017,3,75,64,39,17,9,161,2080,1919,0.923,2.37,4,0,4082
Matthew Murray,2015,2017,2,62,60,41,12,5,136,1805,1669,0.925,2.32,5,0,3515
Antoine Bibeau,2016,2017,1,2,2,1,1,0,4,55,51,0.927,1.98,0,0,121
Anthony Stolarz,2016,2017,1,7,4,2,1,1,13,181,168,0.928,2.07,1,0,376
Jordan Willis,1995,1996,1,1,,0,1,0,1,14,13,0.929,3.16,0,0,19
Tomas Popperle,2006,2007,1,2,,0,0,0,1,14,13,0.929,1.33,0,0,45
Aaron Dell,2016,2017,1,20,17,11,6,1,37,533,496,0.931,2,1,0,1111
Richard Shulmistra,1997,2000,2,2,,1,1,0,3,51,48,0.941,1.48,0,0,122
Charlie Lindgren,2015,2017,2,3,3,3,0,0,5,87,82,0.943,1.65,0,0,182
Troy Grosenick,2014,2015,1,2,2,1,1,0,3,58,55,0.948,1.53,1,0,118
Dan LaCosta,2007,2009,2,4,2,2,0,0,4,85,81,0.953,1.42,1,0,169
Ray LeBlanc,1991,1992,1,1,,1,0,0,1,22,21,0.955,1,0,0,60
Scott Wedgewood,2015,2016,1,4,4,2,1,1,5,116,111,0.957,1.24,1,0,241
Kristers Gudlevskis,2013,2017,3,3,2,1,0,1,3,73,70,0.959,1.37,0,0,131
Jon Gillies,2016,2017,1,1,1,1,0,0,1,28,27,0.964,1,0,0,60
Mackenzie Skapski,2014,2015,1,2,2,2,0,0,1,45,44,0.978,0.5,1,0,119
Chris Clifford,1984,1989,2,2,,0,0,0,0,8,8,1,0,0,0,24
Corrie D'Alessio,1992,1993,1,1,,0,0,0,0,3,3,1,0,0,0,11
Jamie Ram,1995,1996,1,1,,0,0,0,0,9,9,1,0,0,0,27
Sean Gauthier,1998,1999,1,1,,0,0,0,0,2,2,1,0,0,0,3
Mike Rosati,1998,1999,1,1,,1,0,0,0,12,12,1,0,0,0,28
Simon Lajeunesse,2001,2002,1,1,,0,0,0,0,9,9,1,0,0,0,24
Olivier Michaud,2001,2002,1,1,,0,0,0,0,14,14,1,0,0,0,18
Cody Rudkowsky,2002,2003,1,1,,1,0,0,0,10,10,1,0,0,0,30
Mathieu Chouinard,2003,2004,1,1,,0,0,0,0,2,2,1,0,0,0,3
Chris Holt,2005,2009,2,2,0,0,0,0,0,5,5,1,0,0,0,29
Matt Keetley,2007,2008,1,1,0,0,0,0,0,2,2,1,0,0,0,9
Tyler Weiman,2007,2008,1,1,0,0,0,0,0,10,10,1,0,0,0,16
Riku Helenius,2008,2009,1,1,0,0,0,0,0,2,2,1,0,0,0,7
Brian Foster,2011,2012,1,1,0,0,0,0,0,1,1,1,0,0,0,5
Mike Murphy,2011,2012,1,2,0,0,1,0,0,9,9,1,0,0,0,36
Jeff Frazee,2012,2013,1,1,0,0,0,0,0,3,3,1,0,0,0,19
Alex Nedeljkovic,2016,2017,1,1,0,0,0,0,0,17,17,1,0,0,2,30
Clint Benedict*,1917,1930,13,362,,190,143,28,863,,,,2.32,57,7,22367
Art Brooks,1917,1918,1,4,,2,2,0,23,,,,6.27,0,0,220
Sammy Hebert,1917,1924,2,4,,2,1,0,19,,,,5.7,0,0,200
Hap Holmes*,1917,1928,4,103,,39,54,10,264,,,,2.43,17,0,6510
Bert Lindsay,1917,1919,2,20,,6,14,0,118,,,,5.72,0,0,1238
Georges Vezina*,1917,1926,9,190,,103,81,5,633,,,,3.28,13,2,11592
Frank Brophy,1919,1920,1,21,,3,18,0,148,,,,7.11,0,0,1249
Jake Forbes,1919,1933,13,210,,85,114,11,594,,,,2.76,19,2,12922
Howard Lockhart,1919,1925,5,59,,16,41,0,287,,,,5.05,1,0,3413
Mike Mitchell,1919,1922,3,22,,10,9,0,88,,,,4.44,0,0,1190
John Ross Roach,1921,1935,14,492,,219,204,68,1246,,,,2.46,58,0,30444
Alec Connell*,1924,1937,12,417,,193,156,67,830,,,,1.91,81,4,26050
Hec Fowler,1924,1925,1,7,,1,6,0,42,,,,6.16,0,0,409
Charles Stewart,1924,1927,3,77,,30,41,5,194,,,,2.45,10,0,4742
Joe Ironstone,1925,1928,2,2,,0,0,1,3,,,,1.64,1,0,110
Frenchy Lacroix,1925,1926,1,5,,1,4,0,16,,,,3.43,0,0,280
Herb Rheaume,1925,1926,1,31,,10,20,1,92,,,,2.92,0,0,1889
Moe Roberts,1925,1952,4,10,,3,5,0,31,,,,3.71,0,0,501
Roy Worters*,1925,1937,12,484,,171,229,83,1143,,,,2.27,67,0,30175
Lorne Chabot,1926,1937,11,412,,201,147,62,859,,,,2.03,71,10,25411
George Hainsworth*,1926,1937,11,465,,246,145,74,937,,,,1.93,94,2,29087
Hugh Lehman*,1926,1928,2,48,,20,24,4,136,,,,2.68,6,0,3047
Herb Stuart,1926,1927,1,3,,1,2,0,5,,,,1.67,0,0,180
Flat Walsh,1926,1933,7,108,,48,43,16,256,,,,2.31,12,0,6641
Hal Winkler,1926,1928,2,75,,35,26,14,126,,,,1.6,21,0,4739
Charlie Gardiner*,1927,1934,7,316,,112,152,52,664,,,,2.02,42,2,19687
Joe Miller,1927,1931,4,127,,24,87,16,383,,,,2.92,16,0,7871
Dolly Dolson,1928,1931,3,93,,35,41,17,192,,,,1.98,16,0,5820
Benny Grant,1928,1944,6,52,,17,27,4,188,,,,3.72,4,0,3036
Tiny Thompson*,1928,1940,12,553,,284,194,75,1183,,,,2.08,81,0,34175
Bill Beveridge,1929,1943,9,297,,87,166,42,879,,,,2.87,18,0,18375
Abbie Cox,1929,1936,3,5,,1,1,2,11,,,,2.51,0,0,263
Mickey Murray,1929,1930,1,1,,0,1,0,4,,,,4,0,0,60
Red Spooner,1929,1930,1,1,,0,1,0,6,,,,6,0,0,60
Wilf Cude,1930,1941,10,282,,100,132,49,798,,,,2.72,24,0,17586
Dave Kerr,1930,1941,11,427,,203,148,75,954,,,,2.15,51,0,26639
Percy Jackson,1931,1936,4,7,,1,3,1,26,,,,3.98,0,0,392
Normie Smith,1931,1945,8,199,,81,83,35,479,,,,2.33,17,0,12357
Andy Aitkenhead,1932,1935,3,106,,47,43,16,257,,,,2.35,11,0,6570
Bert Gardiner,1935,1944,5,144,,49,68,27,554,,,,3.79,3,0,8760
Mike Karakas,1935,1946,8,336,,114,169,53,1002,,,,2.92,28,9,20614
Turk Broda*,1936,1952,14,629,,302,224,101,1609,,,,2.53,62,8,38167
Alfie Moore,1936,1940,3,21,,7,14,0,81,,,,3.77,1,0,1290
Alex Wood,1936,1937,1,1,,0,1,0,3,,,,2.57,0,0,70
Jimmy Franks,1937,1944,3,42,,12,23,7,181,,,,4.31,1,0,2520
Paul Gauthier,1937,1938,1,1,,0,0,1,2,,,,1.71,0,0,70
Earl Robertson,1937,1942,5,190,,60,95,34,575,,,,2.92,16,0,11820
Claude Bourque,1938,1940,2,62,,16,38,8,192,,,,3.01,4,0,3830
Frank Brimsek*,1938,1950,10,514,,252,182,80,1404,,,,2.7,40,6,31210
Harvey Teno,1938,1939,1,5,,2,3,0,15,,,,3,0,0,300
Paul Goodman,1939,1941,2,52,,23,20,9,117,,,,2.17,6,0,3240
Phil Stein,1939,1940,1,1,,0,0,1,2,,,,1.71,0,0,70
Paul Bibeault,1940,1947,7,214,,81,107,25,785,,,,3.65,10,2,12890
Sam LoPresti,1940,1942,2,74,,30,38,6,236,,,,3.13,4,0,4530
Johnny Mowers,1940,1947,4,152,,65,61,26,399,,,,2.56,15,2,9350
Chuck Rayner*,1940,1953,10,424,,138,208,77,1294,,,,3.05,25,26,25491
Nick Damore,1941,1942,1,1,,1,0,0,3,,,,3,0,0,60
Bill Dickie,1941,1942,1,1,,1,0,0,3,,,,3,0,0,60
Jim Henry,1941,1955,9,406,,161,173,70,1166,,,,2.87,28,0,24355
Joe Turner,1941,1942,1,1,,0,0,1,3,,,,2.57,0,0,70
Lionel Bouvrette,1942,1943,1,1,,0,1,0,6,,,,6,0,0,60
Steve Buzinski,1942,1943,1,9,,2,6,1,55,,,,5.89,0,0,560
George Abbott,1943,1944,1,1,,0,1,0,7,,,,7,0,0,60
Maurice Courteau,1943,1944,1,6,,2,4,0,33,,,,5.5,0,0,360
Connie Dion,1943,1945,2,38,,23,11,4,119,,,,3.13,1,0,2280
Bill Durnan*,1943,1950,7,383,,208,112,62,901,,,,2.36,34,7,22945
Hec Highton,1943,1944,1,24,,10,14,0,108,,,,4.5,0,0,1440
Harry Lumley*,1943,1960,16,803,,330,329,142,2206,,,,2.75,71,95,48044
Jean Marois,1943,1954,2,3,,1,2,0,15,,,,5,0,0,180
Ken McAuley,1943,1945,2,96,,17,64,15,537,,,,5.61,1,0,5740
Harvey Bennett,1944,1945,1,25,,10,12,2,103,,,,4.2,0,0,1470
Frank McCool,1944,1946,2,72,,34,31,7,242,,,,3.36,4,5,4320
Doug Stevenson,1944,1946,2,8,,2,6,0,39,,,,4.88,0,0,480
Baz Bastien,1945,1946,1,5,,0,4,1,20,,,,4,0,0,300
Gordie Bell,1945,1946,1,8,,3,5,0,31,,,,3.87,0,0,480
Red Almas,1946,1953,3,3,,0,2,1,13,,,,4.33,0,0,180
Emile Francis*,1946,1952,6,95,,31,52,11,355,,,,3.76,1,6,5660
Bob DeCourcy,1947,1948,1,1,,0,1,0,6,,,,12.41,0,0,29
Doug Jackson,1947,1948,1,6,,2,3,1,42,,,,7,0,0,360
Tom McGrattan,1947,1948,1,1,,0,0,0,1,,,,7.5,0,0,8
Gerry McNeil,1947,1957,7,276,,119,105,52,649,,,,2.36,28,2,16535
Les Colvin,1948,1949,1,1,,0,1,0,4,,,,4,0,0,60
Jack Gelineau,1948,1954,4,143,,46,64,33,447,,,,3.13,7,4,8580
Gord Henry,1948,1950,2,3,,1,2,0,5,,,,1.67,1,0,180
Richard Bittner,1949,1950,1,1,,0,0,1,3,,,,3,0,0,60
Gilles Mayer,1949,1956,4,9,,2,6,1,24,,,,2.67,0,0,540
Al Rollins,1949,1960,9,430,,141,205,83,1192,,,,2.78,28,43,25723
Terry Sawchuk*,1949,1970,21,971,,447,330,172,2389,,,,2.51,103,229,57194
Marcel Pelletier,1950,1963,2,8,,1,6,0,32,,,,4.86,0,2,395
Lorne Anderson,1951,1952,1,3,,1,2,0,18,,,,6,0,0,180
Glenn Hall*,1952,1971,18,906,,407,326,163,2222,,,,2.49,84,88,53484
Hal Murphy,1952,1953,1,1,,1,0,0,4,,,,4,0,0,60
Jacques Plante*,1952,1973,18,837,,437,246,145,1964,,,,2.38,82,92,49533
Gump Worsley*,1952,1974,21,861,,335,352,150,2407,,,,2.88,43,145,50183
Johnny Bower*,1953,1970,15,552,,250,195,90,1340,,,,2.51,37,36,32016
Dave Gatherum,1953,1954,1,3,,2,0,1,3,,,,1,1,0,180
Lefty Wilson,1953,1958,3,3,,0,0,1,1,,,,0.74,0,0,81
